cluster,longitude,latitude,edad,PRECTOTCORR,PAR,arcillas_0-30cm_mean,arena_0-30cm_mean,limo_0-30cm_mean
0,-76.07,4.51,6.0,1.77,135.71,36.23,24.83,38.93
0,-76.16,4.28,6.0,1.77,135.71,38.3,24.33,37.4
0,-76.31,3.28,6.1,0.33,136.06,38.43,25.57,36.0
0,-76.02,4.6,6.0,1.77,141.21,40.63,25.83,33.53
0,-76.12,4.35,6.1,1.77,135.71,33.83,26.03,40.13
0,-76.31,3.28,6.1,0.33,136.06,38.43,25.57,36.0
0,-76.27,3.25,6.1,0.24,136.06,40.77,23.63,35.63
0,-76.27,3.25,6.0,0.24,136.06,40.77,23.63,35.63
0,-76.31,3.28,6.6,0.33,136.06,38.43,25.57,36.0
0,-76.54,3.22,7.2,0.24,136.06,37.67,31.9,30.43
0,-76.08,4.56,6.0,1.77,135.71,39.3,26.4,34.3
0,-76.08,4.56,6.1,1.77,135.71,39.3,26.4,34.3
0,-76.33,3.32,6.1,0.33,136.06,39.03,25.67,35.33
0,-76.08,4.56,6.1,1.77,135.71,39.3,26.4,34.3
1,-75.87,4.33,6.8,1.6,141.21,37.7,25.73,36.6
0,-76.07,4.51,6.6,1.77,135.71,36.23,24.83,38.93
0,-76.07,4.51,6.1,1.77,135.71,36.23,24.83,38.93
0,-76.08,4.56,6.1,1.77,135.71,39.3,26.4,34.3
0,-76.12,4.35,6.0,1.77,135.71,33.83,26.03,40.13
0,-76.12,4.35,6.1,1.77,135.71,33.83,26.03,40.13
0,-76.12,4.35,6.1,1.77,135.71,33.83,26.03,40.13
1,-75.87,4.33,6.8,1.6,141.21,37.7,25.73,36.6
0,-76.03,4.61,6.8,1.77,141.21,39.9,25.93,34.17
0,-76.36,3.5,8.5,1.49,137.52,38.93,25.9,35.13
0,-76.46,3.64,8.5,1.49,137.52,42.57,27.07,30.4
0,-76.35,3.83,8.5,3.58,137.52,37.07,23.43,39.5
0,-76.32,3.78,8.5,3.58,137.52,33.83,26.33,39.77
0,-76.45,3.53,8.5,1.49,137.52,36.03,24.6,39.4
0,-76.23,4.25,6.9,0.58,124.48,40.27,24.93,34.8
0,-76.23,4.25,6.9,0.58,124.48,40.27,24.93,34.8
0,-76.34,3.39,6.9,0.36,127.82,37.07,24.13,38.77
0,-76.34,3.39,6.9,0.36,127.82,37.07,24.13,38.77
0,-76.41,3.26,6.9,0.36,127.82,39.63,24.1,36.3
0,-76.42,3.26,6.9,0.36,127.82,41.7,20.1,38.2
0,-76.02,4.57,6.9,0.58,123.09,36.4,29.43,34.13
0,-76.02,4.57,6.9,0.58,123.09,36.4,29.43,34.13
0,-76.41,3.26,6.9,0.36,127.82,39.63,24.1,36.3
2,-75.98,4.22,6.9,0.38,123.09,34.93,27.4,37.63
2,-75.98,4.22,6.9,0.38,123.09,34.93,27.4,37.63
0,-76.42,3.26,6.9,0.36,127.82,41.7,20.1,38.2
0,-76.32,3.18,6.9,0.29,127.82,37.67,25.8,36.53
0,-76.32,3.18,6.9,0.29,127.82,37.67,25.8,36.53
0,-76.02,4.57,6.0,2.94,121.09,36.4,29.43,34.13
0,-76.29,3.6,7.0,2.13,131.31,37.4,25.73,36.87
0,-76.29,3.6,7.0,2.13,131.31,39.2,22.63,38.13
0,-76.23,4.25,6.7,2.94,123.25,40.27,24.93,34.8
0,-76.23,4.25,6.5,2.94,123.25,40.27,24.93,34.8
0,-76.23,4.25,6.0,2.94,123.25,40.27,24.93,34.8
0,-76.02,4.57,6.5,2.94,121.09,36.4,29.43,34.13
0,-76.46,3.28,5.9,2.13,131.31,38.37,23.87,37.77
0,-76.42,3.26,6.7,2.13,131.31,41.7,20.1,38.2
0,-76.31,3.23,5.9,1.48,131.31,39.13,23.3,37.53
0,-76.4,3.54,7.0,2.13,131.31,41.0,24.67,34.3
0,-76.41,3.26,6.7,2.13,131.31,39.63,24.1,36.3
0,-76.41,3.26,6.5,2.13,131.31,39.63,24.1,36.3
0,-76.41,3.26,6.0,2.13,131.31,39.63,24.1,36.3
0,-76.03,4.62,5.9,2.94,121.09,39.8,26.57,33.57
0,-76.03,4.61,5.9,2.94,121.09,38.87,26.4,34.73
0,-76.03,4.62,5.9,2.94,121.09,39.8,26.57,33.57
0,-76.02,4.57,6.7,2.94,121.09,36.4,29.43,34.13
0,-76.42,3.26,6.5,2.13,131.31,41.7,20.1,38.2
0,-76.11,4.45,5.9,2.94,123.25,38.3,25.23,36.5
2,-76.0,4.24,5.9,2.72,121.09,34.93,25.77,39.33
0,-75.96,4.61,5.9,2.94,121.09,33.27,31.3,35.43
0,-76.03,4.61,7.0,2.94,121.09,39.6,26.83,33.6
0,-76.2,4.23,5.9,2.72,123.25,36.13,23.8,40.03
1,-75.86,4.35,5.9,2.68,121.09,37.93,27.73,34.3
0,-76.05,4.58,5.9,2.94,123.25,37.1,27.37,35.57
0,-76.32,3.18,6.7,1.48,131.31,37.67,25.8,36.53
0,-76.32,3.18,6.5,1.48,131.31,37.67,25.8,36.53
0,-76.32,3.18,6.0,1.48,131.31,37.67,25.8,36.53
0,-76.39,3.73,7.0,2.13,131.31,31.2,27.8,40.97
0,-76.39,3.73,7.0,2.13,131.31,32.13,22.4,45.47
0,-76.0,4.67,7.0,2.94,121.09,36.8,30.0,33.17
1,-75.88,4.33,5.9,2.68,121.09,36.23,29.67,34.1
0,-76.42,3.26,6.0,2.13,131.31,41.7,20.1,38.2
0,-76.01,4.55,5.9,2.94,121.09,40.17,24.77,35.07
0,-76.08,4.5,5.9,2.94,123.25,41.37,22.83,35.73
2,-75.98,4.22,6.0,2.72,121.09,34.93,27.4,37.63
2,-75.98,4.22,6.5,2.72,121.09,34.93,27.4,37.63
0,-76.5,3.39,5.9,2.13,131.31,38.5,22.23,39.27
2,-75.98,4.22,6.7,2.72,121.09,34.93,27.4,37.63
0,-76.09,4.49,7.0,2.94,123.25,36.13,26.97,36.9
0,-76.34,3.39,6.7,2.13,131.31,37.07,24.13,38.77
0,-76.34,3.39,6.5,2.13,131.31,37.07,24.13,38.77
0,-76.34,3.39,6.0,2.13,131.31,37.07,24.13,38.77
0,-76.31,3.93,7.0,2.72,131.31,35.33,27.43,37.23
0,-76.22,3.32,6.0,0.01,127.19,34.4,31.83,33.7
0,-76.21,3.32,6.0,0.01,127.19,33.73,32.53,33.67
1,-75.85,4.42,6.0,0.06,134.57,35.57,27.13,37.33
0,-76.3,3.46,6.0,0.01,127.19,37.83,27.57,34.57
0,-76.33,3.32,6.0,0.01,127.19,39.87,22.33,37.83
0,-76.41,3.45,6.0,0.01,127.19,34.7,25.73,39.57
0,-76.26,3.42,6.0,0.01,127.19,38.83,31.7,29.47
0,-76.28,3.17,7.4,1.36,127.5,35.77,27.2,37.03
0,-76.46,3.18,14.13,1.36,127.5,36.0,24.33,39.63
0,-76.28,3.17,7.23,1.36,127.5,35.77,27.2,37.03
0,-76.46,3.18,14.13,1.36,127.5,36.0,24.33,39.63
0,-76.34,3.16,7.4,1.36,127.5,34.83,23.37,41.8
0,-76.34,3.16,7.4,1.36,127.5,34.83,23.37,41.8
0,-76.46,3.18,14.13,1.36,127.5,36.0,24.33,39.63
0,-76.28,3.17,7.26,1.36,127.5,35.77,27.2,37.03
0,-76.45,3.22,14.13,1.36,127.5,40.07,24.83,35.13
0,-76.34,3.16,7.26,1.36,127.5,34.83,23.37,41.8
0,-76.28,3.17,7.4,1.36,127.5,35.77,27.2,37.03
